,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,machine_status
0,2018-04-01 00:00:00,2.465394,47.092009999999995,53.2118,46.310759999999995,NORMAL
1,2018-04-01 00:01:00,2.465394,47.092009999999995,53.2118,46.310759999999995,NORMAL
2,2018-04-01 00:02:00,2.444734,47.35243,53.2118,46.39757,NORMAL
3,2018-04-01 00:03:00,2.460474,47.092009999999995,53.1684,46.3975677490234,NORMAL
4,2018-04-01 00:04:00,2.445718,47.13541,53.2118,46.3975677490234,NORMAL
5,2018-04-01 00:05:00,2.453588,47.092009999999995,53.1684,46.3975677490234,NORMAL
6,2018-04-01 00:06:00,2.455556,47.04861,53.168399810790994,46.3975677490234,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
0,2018-04-01 00:00:00,2.465394,47.092009999999995,53.2118,46.310759999999995,NORMAL
1,2018-04-01 00:01:00,2.465394,47.092009999999995,53.2118,46.310759999999995,NORMAL
2,2018-04-01 00:02:00,2.444734,47.35243,53.2118,46.39757,NORMAL
3,2018-04-01 00:03:00,2.460474,47.092009999999995,53.1684,46.3975677490234,NORMAL
4,2018-04-01 00:04:00,2.445718,47.13541,53.2118,46.3975677490234,NORMAL
5,2018-04-01 00:05:00,2.453588,47.092009999999995,53.1684,46.3975677490234,NORMAL
6,2018-04-01 00:06:00,2.455556,47.04861,53.168399810790994,46.3975677490234,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
7,2018-04-01 00:07:00,2.449653,47.13541,53.168399810790994,46.3975677490234,NORMAL
8,2018-04-01 00:08:00,2.4634259999999997,47.092009999999995,53.168399810790994,46.3975677490234,NORMAL
15746,2018-04-11 22:26:00,2.453588,51.08507,52.73437,42.7083320617676,NORMAL
15747,2018-04-11 22:27:00,2.459491,51.08507,52.734371185302706,42.70833,NORMAL
17144,2018-04-12 21:44:00,2.3857060000000003,52.08333,53.03819,43.402774810790994,NORMAL
17145,2018-04-12 21:45:00,2.389641,52.08333,53.0381927490234,43.402774810790994,NORMAL
17146,2018-04-12 21:46:00,2.2784720000000003,52.08333,53.03819,43.402774810790994,NORMAL
17147,2018-04-12 21:47:00,2.282408,52.126740000000005,52.994789123535206,43.402774810790994,NORMAL
17148,2018-04-12 21:48:00,1.858391,52.03993,52.95139,43.402774810790994,NORMAL
17149,2018-04-12 21:49:00,1.8347799999999999,51.95312,52.951385498046896,43.402774810790994,NORMAL
17150,2018-04-12 21:50:00,1.5337379999999998,52.03993,52.951385498046896,43.402774810790994,NORMAL
17151,2018-04-12 21:51:00,1.349769,52.30035,52.95139,43.402770000000004,NORMAL
17152,2018-04-12 21:52:00,1.290741,52.51736,52.907990000000005,43.402774810790994,NORMAL
17153,2018-04-12 21:53:00,1.220891,52.73437,52.821180000000005,43.402774810790994,NORMAL
17154,2018-04-12 21:54:00,0.0,52.95139,52.8211784362793,43.402774810790994,NORMAL
17155,2018-04-12 21:55:00,0.0,53.342009999999995,52.821180000000005,43.402774810790994,BROKEN
17156,2018-04-12 21:56:00,0.0,53.55902,52.77777,43.402774810790994,RECOVERING
17157,2018-04-12 21:57:00,0.0,53.55902,52.77777,43.402774810790994,RECOVERING
17158,2018-04-12 21:58:00,0.0,52.77777,52.69096999999999,43.402770000000004,RECOVERING
17159,2018-04-12 21:59:00,0.0,52.60416,52.73437,43.44618,RECOVERING
17160,2018-04-12 22:00:00,,52.51736,52.69096999999999,43.44618,RECOVERING
17161,2018-04-12 22:01:00,,52.51736,52.69096999999999,43.44618,RECOVERING
17162,2018-04-12 22:02:00,,52.69096999999999,52.69096999999999,43.44618,RECOVERING
17163,2018-04-12 22:03:00,,52.73437,52.69096999999999,43.44618,RECOVERING
17164,2018-04-12 22:04:00,,51.5191,52.560759999999995,43.44618,RECOVERING
17165,2018-04-12 22:05:00,,50.217009999999995,52.38715,43.48958,RECOVERING
17166,2018-04-12 22:06:00,,49.30555,52.51736,43.48958,RECOVERING
17167,2018-04-12 22:07:00,,48.654509999999995,52.51736,43.57639,RECOVERING
17168,2018-04-12 22:08:00,,48.220490000000005,52.560759999999995,43.61979,RECOVERING
17169,2018-04-12 22:09:00,,48.00347,52.60416,43.66319,RECOVERING
17170,2018-04-12 22:10:00,,47.96007,52.69096999999999,43.66319,RECOVERING
17171,2018-04-12 22:11:00,,47.91666,52.69096999999999,43.7066,RECOVERING
17172,2018-04-12 22:12:00,,47.82986,52.69096999999999,43.7934,RECOVERING
17173,2018-04-12 22:13:00,,47.82986,52.69096999999999,43.8368,RECOVERING
17174,2018-04-12 22:14:00,,47.91666,52.73437,43.8368,RECOVERING
17175,2018-04-12 22:15:00,,47.96007,52.821180000000005,43.88021,RECOVERING
17176,2018-04-12 22:16:00,,47.52604,52.907990000000005,43.8368,RECOVERING
17177,2018-04-12 22:17:00,,47.092009999999995,52.821180000000005,43.7066,RECOVERING
17178,2018-04-12 22:18:00,,47.13541,52.560759999999995,43.7066,RECOVERING
17179,2018-04-12 22:19:00,,46.9184,52.38715,43.61979,RECOVERING
17180,2018-04-12 22:20:00,,46.9618,52.34375,43.57639,RECOVERING
17181,2018-04-12 22:21:00,,47.04861,52.38715,43.48958,RECOVERING
17182,2018-04-12 22:22:00,,46.9618,52.25694,43.48958,RECOVERING
17183,2018-04-12 22:23:00,,47.04861,52.17014,43.44618,RECOVERING
17184,2018-04-12 22:24:00,,47.13541,52.30035,43.44618,RECOVERING
17185,2018-04-12 22:25:00,,47.17882,52.30035,43.48958,RECOVERING
17186,2018-04-12 22:26:00,,47.26563,52.34375,43.48958,RECOVERING
17187,2018-04-12 22:27:00,,47.17882,52.30035,43.48958,RECOVERING
17188,2018-04-12 22:28:00,,47.309020000000004,52.38715,43.57639,RECOVERING
17189,2018-04-12 22:29:00,,47.309020000000004,52.47396,43.57639,RECOVERING
17190,2018-04-12 22:30:00,,47.17882,52.38715,43.48958,RECOVERING
17191,2018-04-12 22:31:00,,47.13541,52.34375,43.48958,RECOVERING
17192,2018-04-12 22:32:00,,47.04861,52.17014,43.44618,RECOVERING
17193,2018-04-12 22:33:00,,47.092009999999995,52.03993,43.44618,RECOVERING
17194,2018-04-12 22:34:00,,46.9618,51.95312,43.402770000000004,RECOVERING
17195,2018-04-12 22:35:00,,46.9184,51.90972,43.402770000000004,RECOVERING
17196,2018-04-12 22:36:00,,46.9184,51.90972,43.402770000000004,RECOVERING
17197,2018-04-12 22:37:00,,46.9618,51.86632,43.44618,RECOVERING
17198,2018-04-12 22:38:00,,46.9618,51.86632,43.44618,RECOVERING
17199,2018-04-12 22:39:00,,46.9184,51.82291,43.48958,RECOVERING
17200,2018-04-12 22:40:00,,46.9184,51.82291,43.57639,RECOVERING
17201,2018-04-12 22:41:00,,46.9618,51.86632,43.61979,RECOVERING
17202,2018-04-12 22:42:00,,46.9184,51.86632,43.61979,RECOVERING
17203,2018-04-12 22:43:00,,46.9184,51.90972,43.61979,RECOVERING
17204,2018-04-12 22:44:00,,46.8316,52.08333,43.57639,RECOVERING
17205,2018-04-12 22:45:00,,46.74479,51.90972,43.57639,RECOVERING
17206,2018-04-12 22:46:00,,46.70139,51.73611,43.57639,RECOVERING
17207,2018-04-12 22:47:00,,46.70139,51.6493,43.48958,RECOVERING
17208,2018-04-12 22:48:00,,46.74479,51.5191,43.48958,RECOVERING
17209,2018-04-12 22:49:00,,46.70139,51.5191,43.48958,RECOVERING
17210,2018-04-12 22:50:00,,46.70139,51.47569,43.57639,RECOVERING
17211,2018-04-12 22:51:00,,46.70139,51.43229,43.61979,RECOVERING
17212,2018-04-12 22:52:00,,46.74479,51.43229,43.61979,RECOVERING
17213,2018-04-12 22:53:00,,46.74479,51.43229,43.66319,RECOVERING
17214,2018-04-12 22:54:00,,46.8316,51.43229,43.7066,RECOVERING
17215,2018-04-12 22:55:00,,46.74479,51.47569,43.7934,RECOVERING
17216,2018-04-12 22:56:00,,46.8316,51.5191,43.8368,RECOVERING
17217,2018-04-12 22:57:00,,46.657990000000005,51.6059,43.7934,RECOVERING
17218,2018-04-12 22:58:00,,46.61458,51.6493,43.7066,RECOVERING
17219,2018-04-12 22:59:00,,46.61458,51.47569,43.7066,RECOVERING
